,id,region,price,type,sqfeet,beds,baths,cats_allowed,dogs_allowed,smoking_allowed,wheelchair_access,electric_vehicle_charge,comes_furnished,laundry_options,parking_options,lat,long,state
156196,7049250057,Monroe,1030,apartment,945,2,0.0,1,1,1,0,0,0,w/d hookups,off-street parking,42.0775,-83.6901,MI
135794,7048932571,Baltimore,1444,apartment,1000,2,2.0,1,1,1,0,0,0,Unknown,Unknown,39.3683,-76.4588,MD
254842,7041750247,Philadelphia,1300,apartment,1100,3,1.5,1,0,1,0,0,0,Unknown,Unknown,39.9984,-75.0988,PA
97981,7040187897,Evansville,582,apartment,741,1,1.0,1,1,1,0,0,0,laundry on site,Unknown,37.9582,-87.48700000000001,IN
361557,7049947181,Tucson,1015,apartment,815,2,2.0,1,1,0,1,0,1,w/d in unit,carport,32.2214,-111.02600000000001,AZ
132966,7037034163,Annapolis,1497,apartment,1055,2,2.0,1,1,1,0,0,0,Unknown,Unknown,38.953,-76.4784,MD
354064,7039671112,Montgomery,735,apartment,1050,2,2.0,1,1,0,0,0,0,w/d in unit,Unknown,32.3735,-86.2052,AL
325828,7010731451,Harrisonburg,490,townhouse,1500,1,2.0,1,1,1,0,0,1,w/d in unit,off-street parking,38.4199,-78.8763,VA
72417,7041981088,Augusta,905,apartment,960,2,1.0,0,0,1,0,0,0,w/d hookups,off-street parking,33.3601,-82.0423,GA
319213,7033044311,Salt Lake City,1142,apartment,817,1,1.0,0,0,1,0,0,0,Unknown,Unknown,40.5541,-111.954,UT
77271,7037238155,Northwest Ga,918,apartment,960,2,1.0,1,1,1,0,0,0,Unknown,Unknown,33.5807,-84.3253,GA
116862,7050793091,Wichita,678,apartment,865,2,1.0,1,1,0,0,0,0,laundry in bldg,off-street parking,37.7038,-97.2253,KS
251826,7035721847,Lancaster,1260,townhouse,1285,3,2.0,1,1,1,0,0,0,w/d in unit,off-street parking,40.0067,-76.3376,PA
255653,7037182842,Pittsburgh,1195,apartment,860,2,1.0,0,0,1,0,0,0,Unknown,Unknown,40.3323,-80.081,PA
200339,7029430132,Central Nj,1200,house,700,2,1.0,0,0,1,0,0,0,laundry in bldg,off-street parking,40.4637,-74.3615,NJ
243123,7024388488,Eugene,795,apartment,475,0,1.0,0,0,0,0,0,0,laundry on site,off-street parking,44.0402,-123.081,OR
193626,7049892328,Lincoln,1215,apartment,1171,3,2.0,1,1,1,1,0,0,w/d hookups,off-street parking,40.8566,-96.7199,NE
359506,7009249382,Jonesboro,850,house,1400,3,2.0,1,1,1,1,0,0,w/d in unit,attached garage,35.833,-90.6965,AR
173783,7029460838,Billings,1050,duplex,1450,2,2.0,0,1,0,0,0,0,w/d hookups,attached garage,45.8282,-108.456,MT
33187,7032211941,Delaware,1099,apartment,600,1,1.0,1,1,1,0,0,0,w/d in unit,street parking,39.7389,-75.5523,DE
64791,7045303022,Tampa Bay Area,1410,townhouse,1230,3,3.5,1,1,1,0,0,0,w/d in unit,attached garage,28.0623,-82.3896,FL
25247,7043537630,Fort Collins / North Co,1310,apartment,870,2,1.0,1,1,1,0,0,0,Unknown,Unknown,40.5525,-105.068,CO
383846,7025693675,Palm Springs,1320,apartment,1010,2,2.0,1,1,1,0,0,0,laundry on site,carport,33.7439,-116.993,CA
76184,7023255406,Macon / Warner Robins,780,apartment,1100,2,2.0,0,0,1,0,0,0,Unknown,Unknown,32.621,-83.6514,GA
8797,7049928353,Sf Bay Area,2438,apartment,1029,2,2.0,1,1,0,0,0,0,w/d in unit,detached garage,37.9587,-122.055,CA
381743,7042171300,Orange County,2199,apartment,972,2,2.0,1,1,1,0,0,0,w/d in unit,carport,33.8608,-117.926,CA
347637,7048541759,Birmingham,1055,apartment,1306,3,2.0,0,0,1,0,0,0,Unknown,Unknown,33.4326,-86.7055,AL
66854,7048914444,Albany,521,apartment,595,1,1.0,1,1,1,0,0,0,laundry on site,off-street parking,31.5789,-84.2118,GA
233248,7050064264,Toledo,725,duplex,750,2,1.0,0,0,0,0,0,0,laundry on site,off-street parking,41.3698,-83.639,OH
162711,7045067089,Rochester,1140,apartment,1038,2,1.5,1,1,1,0,0,0,Unknown,Unknown,44.0568,-92.494,MN
35070,7049919308,Daytona Beach,889,apartment,733,1,1.0,1,1,1,0,0,0,w/d in unit,street parking,29.0422,-81.2863,FL
137245,7039695445,Frederick,1900,apartment,1445,2,2.0,0,0,1,0,0,0,Unknown,Unknown,39.4926,-77.4612,MD
236,7040867208,Reno / Tahoe,800,apartment,400,1,1.0,1,1,1,0,0,0,Unknown,Unknown,39.5204,-119.84299999999999,CA
330286,7048560850,Richmond,905,apartment,815,2,1.0,1,1,1,0,0,0,Unknown,Unknown,37.4638,-77.398,VA
280006,7039691985,Memphis,649,apartment,948,2,2.0,1,1,1,0,0,0,w/d hookups,off-street parking,35.0518,-89.91799999999999,TN
